"task_id","simulation_seed","simulation_attempt","observed_data_md5","model","Nmif","week","B_estimate","B_true","trajectory_seed","path_semantics"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,0.142857142857143,4.26378134770072,4,21260900,"ancestry_preserving_sampled_latent_trajectory"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,0.285714285714286,3.84561101707133,4,21260900,"ancestry_preserving_sampled_latent_trajectory"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,0.428571428571429,3.51261925169362,4,21260900,"ancestry_preserving_sampled_latent_trajectory"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,0.571428571428571,3.56996539377469,4,21260900,"ancestry_preserving_sampled_latent_trajectory"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,0.714285714285714,3.99291169129636,4,21260900,"ancestry_preserving_sampled_latent_trajectory"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,0.857142857142857,3.95676906074097,4,21260900,"ancestry_preserving_sampled_latent_trajectory"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,1,4.00549538567173,4,21260900,"ancestry_preserving_sampled_latent_trajectory"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,1.14285714285714,4.27552460160303,4,21260900,"ancestry_preserving_sampled_latent_trajectory"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,1.28571428571429,4.40454787632656,4,21260900,"ancestry_preserving_sampled_latent_trajectory"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,1.42857142857143,4.54614797677129,4,21260900,"ancestry_preserving_sampled_latent_trajectory"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,1.57142857142857,3.86553167848925,4,21260900,"ancestry_preserving_sampled_latent_trajectory"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,1.71428571428571,3.94249372243059,4,21260900,"ancestry_preserving_sampled_latent_trajectory"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,1.85714285714286,3.82215133189006,4,21260900,"ancestry_preserving_sampled_latent_trajectory"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,2,3.7561541277878,4,21260900,"ancestry_preserving_sampled_latent_trajectory"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,2.14285714285714,3.70002428754142,4,21260900,"ancestry_preserving_sampled_latent_trajectory"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,2.28571428571429,3.35709378155271,4,21260900,"ancestry_preserving_sampled_latent_trajectory"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,2.42857142857143,3.3269713232263,4,21260900,"ancestry_preserving_sampled_latent_trajectory"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,2.57142857142857,3.57856284683904,4,21260900,"ancestry_preserving_sampled_latent_trajectory"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,2.71428571428571,4.22374186780888,4,21260900,"ancestry_preserving_sampled_latent_trajectory"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,2.85714285714286,4.39075311612237,4,21260900,"ancestry_preserving_sampled_latent_trajectory"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,3,4.18639872211038,4,21260900,"ancestry_preserving_sampled_latent_trajectory"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,3.14285714285714,4.40460721763037,4,21260900,"ancestry_preserving_sampled_latent_trajectory"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,3.28571428571429,3.95956773288044,4,21260900,"ancestry_preserving_sampled_latent_trajectory"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,3.42857142857143,4.02918144027143,4,21260900,"ancestry_preserving_sampled_latent_trajectory"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,3.57142857142857,3.8030417104746,4,21260900,"ancestry_preserving_sampled_latent_trajectory"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,3.71428571428571,3.77290495639946,4,21260900,"ancestry_preserving_sampled_latent_trajectory"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,3.85714285714286,3.74417801881185,4,21260900,"ancestry_preserving_sampled_latent_trajectory"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,4,3.58252278876614,4,21260900,"ancestry_preserving_sampled_latent_trajectory"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,4.14285714285714,3.79471582115243,4,21260900,"ancestry_preserving_sampled_latent_trajectory"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,4.28571428571429,3.48380987672778,4,21260900,"ancestry_preserving_sampled_latent_trajectory"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,4.42857142857143,3.65772332238867,4,21260900,"ancestry_preserving_sampled_latent_trajectory"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,4.57142857142857,3.68498342103875,4,21260900,"ancestry_preserving_sampled_latent_trajectory"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","gamma_noise",600,4.71428571428571,3.56123962582577,4,21260900,"ancestry_preserving_sampled_latent_trajectory"
